ISIN;Wertpapiername
US0028241000;ABBOTT LABS
US00724F1012;ADOBE INC.
US0079031078;ADVANCED MIC.DEV.  DL-,01
US0162551016;ALIGN TECHNOLOGY DL-,0001
DE0008404005;ALLIANZ SE NA O.N.
US02079K1079;ALPHABET INC.CL C DL-,001
US0231351067;AMAZON.COM INC.    DL-,01
US0378331005;APPLE INC.
US0382221051;APPLIED MATERIALS INC.
US04342Y1047;ASANA INC. CL.A O.N.
NL0010273215;ASML HOLDING    EO -,09
GB00BZ09BD16;ATLASSIAN CORP. A DL -,10
US0527691069;AUTODESK INC.
US0567521085;BAIDU A ADR DL-,000000625
CA0585861085;BALLARD PWR SYS
CH0038389992;BB BIOTECH NAM.   SF 0,20
US07373V1052;BEAM THERAPEUTICS  DL-,01
US08862E1091;BEYOND MEAT INC.
US09075V1026;BIONTECH SE SPON. ADRS 1
US11135F1012;BROADCOM INC.     DL-,001
US12047B1052;BUMBLE INC. CL.A  DL -,01
CNE100000296;BYD CO. LTD H        YC 1
DE0005313704;CARL ZEISS MEDITEC AG
US19260Q1076;COINBASE GLB.CL.A -,00001
CH0334081137;CRISPR THERAPEUT. SF -,03
DE0006095003;ENCAVIS AG  INH. O.N.
US29355A1079;ENPHASE ENERGY INC.DL-,01
FR0014000MR3;EUROFINS SCI.INH.EO 0,01
US30063P1057;EXACT SCIEN.       DL-,01
US30303M1027;FACEBOOK INC.A DL-,000006
DE000A161408;HELLOFRESH SE  INH O.N.
US4523271090;ILLUMINA INC.      DL-,01
DE0006231004;INFINEON TECH.AG NA O.N.
US46120E6023;INTUITIVE SURGIC. DL-,001
US46185L1035;INVITAE CORP.    DL-,0001
US47759T1007;JINKOSOLAR ADR/4 DL-00002
DE000LS9HXM7;LANG+SCHWARZ O.E. INDEX
DE000LS9PBC7;LANG+SCHWARZ O.E. INDEX
DE000LS9PWA7;LANG+SCHWARZ O.E. INDEX
US57667L1070;MATCH GR.INC. NEW DL-,001
US5951121038;MICRON TECHN. INC. DL-,10
US5949181045;MICROSOFT    DL-,00000625
DE0008430026;MUENCH.RUECKVERS.VNA O.N.
US64110L1061;NETFLIX INC.      DL-,001
US67066G1040;NVIDIA CORP.      DL-,001
US68620A2033;ORGANOVO HLDGS     DL-,01
US69404D1081;PAC.BIOSCI.OF CAL.DL-,001
US69608A1088;PALANTIR TECHNOLOGIES INC
US70450Y1038;PAYPAL HDGS INC.DL-,0001
US7437131094;PROTO LABS INC.   DL-,001
US77543R1023;ROKU INC   CL. A DL-,0001
US79466L3024;SALESFORCE.COM    DL-,001
DE0007164600;SAP SE O.N.
DE0007165631;SARTORIUS AG VZO O.N.
DE0007276503;SECUNET SECURITY AG O.N.
NL0012044747;SHOP APOTHEKE EUROPE INH.
CA82509L1076;SHOPIFY A SUB.VTG
DE0007236101;SIEMENS AG  NA O.N.
LU1778762911;SPOTIFY TECH. S.A.  EUR 1
US8522341036;SQUARE INC. A
IL0011267213;STRATASYS LTD
DE000A2YN900;TEAMVIEWER AG  INH O.N.
US87918A1051;TELADOC HEALTH INC.DL-001
KYG875721634;TENCENT HLDGS   HD-,00002
US88160R1014;TESLA INC. DL -,001
US8835561023;THERMO FISH.SCIENTIF.DL 1
US90138F1021;TWILIO INC.
US90364P1057;UIPATH INC.   A DL-,00001
US91332U1016;UNITY SOFTWARE DL-,000005
DE000A0TGJ55;VARTA AG O.N.
DE000A0BL849;VITA 34 AG NA O.N.
DE0007664039;VOLKSWAGEN AG VZO O.N.
US98954M2008;ZILLOW GROUP C CAP.DL-,01
US98980L1017;ZOOM VIDEO COMM. A -,001
